"experiment_group","parameter_name","parameter_value","looseness_level","total_events","total_candidates","candidate_rate","scored_rows","final_high_priority_alert","final_needs_review","final_low_priority_or_background","high_priority_rate_over_total","high_priority_rate_over_scored","high_priority_from_gating","high_priority_from_augmentation","missing_origin_or_path_in_high","top_contributing_factor_in_high","uncertain_total","promoted_suspicious","retained_uncertain","demoted_suspicious","run_id"
"E5-A","min_weak_rules","1.0","loose","4808","4808","1.0","4808","273","1104","3431","0.05678036605657238","0.05678036605657238","243","30","0","structural_novelty_score","3131","30","1104","1997","e5_a_mwr1"
"E5-A","min_weak_rules","2.0","default","4808","4808","1.0","4808","273","1104","3431","0.05678036605657238","0.05678036605657238","243","30","0","structural_novelty_score","3131","30","1104","1997","e5_a_mwr2"
"E5-A","min_weak_rules","3.0","strict","4808","4808","1.0","4808","273","1104","3431","0.05678036605657238","0.05678036605657238","243","30","0","structural_novelty_score","3131","30","1104","1997","e5_a_mwr3"
"E5-B","certainty_threshold_high","58.5","loose","4808","1106","0.2300332778702163","1106","25","624","457","0.005199667221297837","0.022603978300180832","25","0","0","structural_novelty_score","642","0","624","18","e5_b_cth58p5"
"E5-B","certainty_threshold_high","65.0","default","4808","1106","0.2300332778702163","1106","24","625","457","0.004991680532445923","0.0216998191681736","22","2","0","structural_novelty_score","645","2","625","18","e5_b_cth65p0"
"E5-B","certainty_threshold_high","71.5","strict","4808","1106","0.2300332778702163","1106","22","627","457","0.004575707154742097","0.019891500904159132","0","22","0","structural_novelty_score","667","22","627","18","e5_b_cth71p5"
"E5-C","promoted_threshold","58.5","loose","4808","1106","0.2300332778702163","1106","25","624","457","0.005199667221297837","0.022603978300180832","22","3","0","structural_novelty_score","645","3","624","18","e5_c_pth58p5"
"E5-C","promoted_threshold","65.0","default","4808","1106","0.2300332778702163","1106","24","625","457","0.004991680532445923","0.0216998191681736","22","2","0","structural_novelty_score","645","2","625","18","e5_c_pth65p0"
"E5-C","promoted_threshold","71.5","strict","4808","1106","0.2300332778702163","1106","22","627","457","0.004575707154742097","0.019891500904159132","22","0","0","structural_novelty_score","645","0","627","18","e5_c_pth71p5"
