run_id,start_time,end_time,collectors,total_events,total_candidates,candidate_rate,scored_rows,final_high_priority_alert,final_needs_review,final_low_priority_or_background,high_priority_rate_over_total,high_priority_rate_over_scored,high_priority_from_gating,high_priority_from_augmentation,missing_origin_or_path_in_high,top_contributing_factor_in_high,uncertain_total,promoted_suspicious,retained_uncertain,demoted_suspicious,structural_novelty_dominance_in_high,augmentation_gain_to_high
e4_20170707T000000_000500,2017-07-07 00:00:00,2017-07-07 00:05:00,"route-views.sg,rrc00",3789,889,0.23462655054103984,889,25,519,345,0.006598046978094484,0.0281214848143982,24,1,0,structural_novelty_score,522,1,519,2,True,0.04
e4_20170707T000500_001000,2017-07-07 00:05:00,2017-07-07 00:10:00,"route-views.sg,rrc00",4566,1272,0.278580814717477,1272,22,655,595,0.004818221638195357,0.01729559748427673,15,7,0,structural_novelty_score,756,7,655,94,True,0.3181818181818182
e4_20170707T001000_001500,2017-07-07 00:10:00,2017-07-07 00:15:00,"route-views.sg,rrc00",4083,1699,0.41611560127357333,1699,66,835,798,0.016164584864070537,0.03884638022366098,57,9,0,structural_novelty_score,1011,9,835,167,True,0.13636363636363635
20260313T032554_4f9be28c,2017-07-07 00:15:00,2017-07-07 00:20:00,"route-views.sg,rrc00",4808,1106,0.2300332778702163,1106,24,625,457,0.004991680532445923,0.0216998191681736,22,2,0,structural_novelty_score,645,2,625,18,True,0.08333333333333333
e4_20170707T002000_002500,2017-07-07 00:20:00,2017-07-07 00:25:00,"route-views.sg,rrc00",4499,2195,0.48788619693265173,2195,91,1144,960,0.02022671704823294,0.04145785876993166,88,3,0,structural_novelty_score,1237,3,1144,90,True,0.03296703296703297
