pair,a_only,b_only,intersection
mwr1_vs_mwr2,574,0,1106
mwr1_vs_mwr3,582,0,1098
mwr1_vs_mwr10,582,0,1098
mwr2_vs_mwr3,8,0,1098
mwr2_vs_mwr10,8,0,1098
mwr3_vs_mwr10,0,0,1098
